RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Dependents,Tenure,Balance,NumOfProducts,IsActiveMember,EstimatedSalary,MonthlyCharges,TotalCharges,PaymentMethod,Exited
1,15634602,Hargrave,619,France,Female,42,No,2,0,1,1,101348.88,29.85,29.85,Electronic check,1
2,15647311,Hill,608,Spain,Female,41,No,1,83807.86,1,1,112542.58,56.95,1889.5,Mailed check,0
3,15619304,Onio,502,France,Female,42,No,8,159660.8,3,0,113931.57,53.85,108.15,Mailed check,1
4,15701354,Boni,699,France,Female,39,No,1,0,2,0,93826.63,42.3,1840.75,Bank transfer (automatic),0
5,15737888,Mitchell,850,Spain,Female,43,No,2,125510.82,1,1,79084.1,70.7,151.65,Electronic check,0
6,15574012,Chu,645,Spain,Male,44,No,8,113755.78,2,0,149756.71,99.65,820.5,Electronic check,1
8,15656148,Obinna,376,Germany,Female,29,No,4,115046.74,4,0,119346.88,29.75,301.9,Mailed check,1
17,15737452,Romeo,653,Germany,Male,58,No,1,132602.88,1,0,5097.67,20.65,1022.95,Mailed check,1
23,15699309,Gerasimov,510,Spain,Female,38,No,4,0,1,0,118913.53,20.15,20.15,Mailed check,1
31,15589475,Azikiwe,591,Spain,Female,39,No,3,0,3,0,140469.38,96.35,6766.95,Credit card (automatic),1
36,15794171,Lombardo,475,France,Female,45,Yes,0,134264.04,1,0,27822.99,99.9,7251.7,Bank transfer (automatic),1
42,15738148,Clarke,465,France,Female,51,Yes,8,122522.32,1,0,181297.65,69.2,4872.35,Credit card (automatic),1
44,15755196,Lavine,834,France,Female,49,No,2,131394.56,1,0,194365.76,79.85,4861.45,Credit card (automatic),1
47,15602280,Martin,829,Germany,Female,27,No,9,112045.67,1,1,119708.21,49.25,97,Mailed check,1
48,15771573,Okagbue,637,Germany,Female,39,No,9,137843.8,1,1,117622.8,80.65,144.15,Electronic check,1
54,15702298,Parkhill,655,Germany,Male,41,No,8,125561.97,1,0,164040.94,80.65,633.3,Credit card (automatic),1
55,15569590,Yoo,601,Germany,Male,42,Yes,1,98495.72,1,0,40014.76,74.85,4456.35,Credit card (automatic),1
59,15623944,T'ien,511,Spain,Female,66,Yes,4,0,1,0,1643.11,24.95,894.3,Credit card (automatic),1
71,15703793,Konovalova,738,Germany,Male,58,No,2,133745.44,4,0,28373.86,49.05,49.05,Mailed check,1
82,15663706,Leonard,777,France,Female,32,Yes,2,0,1,0,136458.19,50.55,565.35,Electronic check,1
